hospital_name,county,level,ownership
Bulla Game Medical Clinic and Laboratory,Garissa,Level 2,Private Practice - Nurse / Midwifery
Amani Clinic (Garissa),Garissa,Level 2,Private Practice - Nurse / Midwifery
Alliance Medical Clinic,Garissa,Level 2,Private Practice - Medical Specialist
Al-Faruq Medical Clinic,Garissa,Level 2,Private Practice - Nurse / Midwifery
Al Iklas Nursing Home,Garissa,Level 3,Private Practice - Nurse / Midwifery
Al Amin Medical Clinic,Garissa,Level 2,Private Practice - Clinical Officer
Dam Pharmacy and Clinic,Garissa,Level 2,Private Practice - Clinical Officer
Hope Medical Clinic (Loitokitok),Kajiado,Level 2,Private Practice - Clinical Officer
Rosade Medical Clinic,Nairobi,Level 2,Private Practice - General Practitioner
Mwendantu Amani Clinic,Tharaka-Nithi,Level 2,Private Practice - Nurse / Midwifery
Kibera Highway Clinic,Nairobi,Level 2,Private Practice - Clinical Officer
St Andrews Medical Clinic - Eldoret,Uasin Gishu,Level 2,Private Practice - General Practitioner
Naisula Medical Clinic,Kajiado,Level 2,Private Practice - General Practitioner
Good Shephered Medical Clinic,Embu,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Mercy Medical Clinic Engineer,Nyandarua,Level 2,Private Practice - Nurse / Midwifery
Stralight Medical Clinic,Nyandarua,Level 2,Private Practice - Clinical Officer
Nalala Initiative Community Clinic,Kajiado,Level 2,Ministry of Health
Geva Family Health Services,Kisumu,Level 2,Private Practice - Clinical Officer
Jolly Medical Clinic,Meru,Level 2,Private Practice - General Practitioner
Wa Tonny Clinic,Murang'A,Level 2,Private Practice - Nurse / Midwifery
Acc&S Kariua Dispensary,Murang'A,Level 2,Christian Health Association of Kenya
Mwathene Dispensary,Meru,Level 2,Ministry of Health
Nogoi Medical Clinic,Baringo,Level 2,Private Practice - Clinical Officer
Mogotio Medical Clinic,Baringo,Level 2,Private Practice - Clinical Officer
Lexa Medical Centre,Kajiado,Level 2,Private Practice - General Practitioner
Isra Walmiraj Medical Clinic,Kajiado,Level 2,Private Practice - General Practitioner
Shalom Community Health Centre,Kajiado,Level 2,Private Practice - General Practitioner
Mumui Dispensary (Kianjai),Meru,Level 2,Ministry of Health
Holiday Medical Clinic,Tharaka-Nithi,Level 2,Private Enterprise (Institution)
Ushirika Medical Clinic Maara,Tharaka-Nithi,Level 2,Private Enterprise (Institution)
March Medicare,Kakamega,Level 2,Private Practice - Nurse / Midwifery
Mwendantu Baraka Clinic,Tharaka-Nithi,Level 2,Private Enterprise (Institution)
Mamakate Medical Clinic,Kakamega,Level 2,Private Practice - Nurse / Midwifery
Mtoni Medical Clinic,Kakamega,Level 2,Private Practice - Clinical Officer
Pona VCT,Migori,Level 2,Private Practice - General Practitioner
Kamiti Maximum Clinic,Nairobi,Level 2,Ministry of Health
Imanga Health Centre,Kakamega,Level 3,Ministry of Health
Butere Iranda Health Centre,Kakamega,Level 3,Ministry of Health
Kaciongo Medical Clinic,Meru,Level 2,Private Practice - Clinical Officer
Robins Health Care Clinic,Meru,Level 2,Private Practice - Nurse / Midwifery
Bethezda Medical Clinic,Nandi,Level 2,Private Practice - Clinical Officer
Appex Medical Clinic,Nandi,Level 2,Private Practice - Clinical Officer
Wananchi Medical Clinic Maara,Tharaka-Nithi,Level 2,Private Practice - Nurse / Midwifery
Mutethia Clinic Magutuni,Tharaka-Nithi,Level 2,Private Practice - Nurse / Midwifery
Namarei Dispensary (Marsabit South),Marsabit,Level 2,Christian Health Association of Kenya
Kaka Health Clinic,Meru,Level 2,Private Practice - Nurse / Midwifery
Rejoice Medical Clinic Lusiola,Vihiga,Level 2,Private Practice - Nurse / Midwifery
Jamii Medical Clinic Vihiga,Vihiga,Level 2,Private Practice - Clinical Officer
Nyambene Medical & Surgical Centre,Meru,Level 2,Private Practice - Clinical Officer
Highway Medical Clinic Maua,Meru,Level 2,Private Practice - Clinical Officer
Angels Health Services,Meru,Level 2,Private Practice - Nurse / Midwifery
Springs Health Care Clinic,Meru,Level 2,Private Practice - Clinical Officer
Network Israel Medical Clinic,Machakos,Level 2,Private Practice - Nurse / Midwifery
West End Medical Solutions,Machakos,Level 2,Private Practice - General Practitioner
Clinix Medical Clinic (Machakos),Machakos,Level 2,Private Practice - General Practitioner
Meridian Medical Centre (Machakos),Machakos,Level 2,Private Practice - General Practitioner
Baraka Dental Clinic (Maara),Tharaka-Nithi,Level 2,Private Practice - General Practitioner
Mutomo Health Clinic,Kitui,Level 2,Private Practice - Nurse / Midwifery
Stadia Medical Clinic,Meru,Level 2,Private Practice - Nurse / Midwifery
Kasolina Medical Clinic,Meru,Level 2,Private Practice - General Practitioner
Universal M Clinic,Meru,Level 2,Private Practice - General Practitioner
Central Medical Clinic (Kitui Central),Kitui,Level 2,Private Practice - Clinical Officer
Clay Hill Hospital,Kajiado,Level 4,Private Enterprise (Institution)
Muthale Mission Hospital Satelite Clinic,Kitui,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Ladopharma Medical Centre,Migori,Level 2,Private Practice - General Practitioner
Dice Clinic Migori,Migori,Level 2,Non-Governmental Organizations
Swop Thika Road,Nairobi,Level 2,Non-Governmental Organizations
Korogocho Health Centre,Nairobi,Level 3,Ministry of Health
Embakasi Medical Centre (Aun),Nairobi,Level 2,Private Practice - General Practitioner
Emmanuel Medical Centre,Nairobi,Level 2,Private Practice - General Practitioner
Ong'amo Dispensary,Homa Bay,Level 2,Ministry of Health
Cheptais Clinic,Bungoma,Level 2,Private Practice - Nurse / Midwifery
Maendeleo Clinic,Bungoma,Level 2,Private Practice - Nurse / Midwifery
Paradise Medical Centre (Cheptais),Bungoma,Level 2,Private Practice - Clinical Officer
Consolata Shrine Dispensary (Deep Sea Nairobi),Nairobi,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Githogoro Runda Baptist Clinic (Getrudes Nairobi),Nairobi,Level 2,Private Enterprise (Institution)
Kimkan Health Services,Murang'A,Level 2,Private Practice - General Practitioner
Lugpharm Medicals Limited,Machakos,Level 2,Private Practice - General Practitioner
Ikuu CFW Clinic,Tharaka-Nithi,Level 2,Non-Governmental Organizations
Kenyatta University Kitui Campus Health Unit,Kitui,Level 2,Academic
Kiganjo Medical Centre,Kiambu,Level 2,Private Practice - Clinical Officer
Otange Dispensary,Homa Bay,Level 2,Ministry of Health
Kachuth Dispensary,Homa Bay,Level 2,Ministry of Health
Hope World Wide Nakuru,Nakuru,Level 2,Other Faith Based
Got Kamondi Dispensary,Homa Bay,Level 2,Ministry of Health
Wondeni Dispensary,Machakos,Level 2,Ministry of Health
Ankamia Dispensary,Meru,Level 2,Ministry of Health
Optimum Care Medical,Mombasa,Level 2,Private Practice - General Practitioner
Nyabondo Rehabilitation Centre,Kisumu,Level 2,Christian Health Association of Kenya
Nyabola CDF Dispensary,Kisumu,Level 2,Ministry of Health
Igarii Dispensary,Meru,Level 2,Ministry of Health
Mulika Dispensary,Meru,Level 2,Ministry of Health
Nyara Tea Estate Dispensary,Kiambu,Level 2,Private Practice - Nurse / Midwifery
Eldoret Regional Blood Bank,Uasin Gishu,Level 2,Ministry of Health
Wellness Program KWS Hq,Nairobi,Level 2,Parastatal
AAR Healthcare Limited (Karen),Nairobi,Level 2,Private Enterprise (Institution)
Maungu Model Health Centre,Taita Taveta,Level 3,Ministry of Health
Logologo Model Health Centre (Marsabit South),Marsabit,Level 3,Ministry of Health
Laisamis Health Centre (Marsabit South),Marsabit,Level 3,Ministry of Health
Jirime Dispensary,Marsabit,Level 2,Ministry of Health
Boru Haro Model Health Centre,Marsabit,Level 3,Ministry of Health
Lumboka Medical Services,Bungoma,Level 4,Company Medical Service
Mandera West Nursing Home,Mandera,Level 2,Private Practice - Clinical Officer
Kiroone Dispensary,Meru,Level 2,Ministry of Health
Ngongo Dispensary,Meru,Level 2,Ministry of Health
Kathithine Dispensary,Meru,Level 2,Ministry of Health
Eliye Springs Community Dispensary,Turkana,Level 2,Ministry of Health
Afya Medical Centre,Mombasa,Level 2,Private Practice - Clinical Officer
Highrise Medical Services,Mombasa,Level 2,Private Practice - Nurse / Midwifery
St Richard Medical Clinic,Mombasa,Level 2,Private Practice - Nurse / Midwifery
Darajani Medical Clinic,Mombasa,Level 2,Private Practice - Clinical Officer
Faith Medical Clinic,Kakamega,Level 2,Private Practice - Nurse / Midwifery
Destiny Medical Clinic,Kiambu,Level 2,Private Enterprise (Institution)
Mariakani Cottage Clinic,Machakos,Level 2,Private Enterprise (Institution)
Bluebells Medical Clinic,Machakos,Level 2,Private Practice - Nurse / Midwifery
AIC Biribiriet Dispensary,Trans Nzoia,Level 2,Other Faith Based
Wheel Kenya Medical Clinic,Kisumu,Level 2,Private Practice - Clinical Officer
Karatina Maternity & Nursing Home,Kirinyaga,Level 2,Public Institution
Malabot Dispensary (North Horr),Marsabit,Level 2,Ministry of Health
Burgabo Dispensary (Chalbi),Marsabit,Level 2,Ministry of Health
Primo Medical Clinic,Nakuru,Level 2,Private Practice - Clinical Officer
Lea Toto Mwiki,Nairobi,Level 2,Non-Governmental Organizations
Kwosp (Korogocho),Nairobi,Level 2,Non-Governmental Organizations
Vorhca VCT Stand Alone,Kakamega,Level 2,Private Enterprise (Institution)
Jehova Rapha Clinic,Kakamega,Level 2,Private Practice - Nurse / Midwifery
Mbaruk Dispensary,Nakuru,Level 2,Ministry of Health
Kabarak University Medical Centre,Nakuru,Level 2,Private Enterprise (Institution)
Abakaile Dispensary,Garissa,Level 2,Ministry of Health
Shura Dispensary (Chalbi),Marsabit,Level 2,Ministry of Health
Syokimau Medical Services,Machakos,Level 2,Private Practice - Clinical Officer
Avenue Health Care Nakuru,Nakuru,Level 2,Private Practice - General Practitioner
Annointed Medical Clinic,Kakamega,Level 2,Private Practice - Clinical Officer
Bgp Block 10Ba Base Camp Clinic,Turkana,Level 2,Non-Governmental Organizations
County Medicare Ltd (Maralal Nursing Home),Samburu,Level 2,Private Practice - Clinical Officer
Kalima Dispensary,Makueni,Level 2,Ministry of Health
Montana Hospital,Mombasa,Level 4,Private Practice - General Practitioner
Tutini Dispensary,Makueni,Level 2,Ministry of Health
Bodaki Medical Clinic,Nairobi,Level 3,Private Practice - Nurse / Midwifery
AHF Soko Clinic,Mombasa,Level 2,Non-Governmental Organizations
Hamey Dispensary,Garissa,Level 2,Ministry of Health
Oren Health Centre,Kisumu,Level 3,Ministry of Health
Ifo 2 Hospital,Garissa,Level 4,Ministry of Health
Nist Dispensary,Nyandarua,Level 2,Parastatal
Olive Link Health Care,Nairobi,Level 3,Non-Governmental Organizations
Sasa Centre (Makadara),Nairobi,Level 2,Non-Governmental Organizations
Church Army Medical Clinic,Nairobi,Level 2,Christian Health Association of Kenya
Little Angels Medical Clinic,Machakos,Level 2,Private Practice - General Practitioner
Sportlight Empowerment Group,Nandi,Level 2,Private Enterprise (Institution)
Aphiaplus Drop-In Centre (Naivasha),Nakuru,Level 2,Non-Governmental Organizations
Chuka University Dispensary,Tharaka-Nithi,Level 2,Academic
Muhamarani Dispensary,Lamu,Level 2,Ministry of Health
Nyandusi,Siaya,Level 3,Private Practice - Nurse / Midwifery
Axis Nursing Home,Mombasa,Level 3,Private Practice - General Practitioner
Chamuka (CDF) Dispensary,Nyandarua,Level 2,Ministry of Health
Gatimu Health Centre,Nyandarua,Level 3,Ministry of Health
Fountain of Hope Medical Clinic,Machakos,Level 2,Private Practice - Nurse / Midwifery
Mugai Dispensary,Kakamega,Level 2,Ministry of Health
Dr Florence Murila (Ngong Road),Nairobi,Level 2,Private Practice - General Practitioner
St Lukes Orthopaedic and Trauma Hospital,Uasin Gishu,Level 4,Private Practice - General Practitioner
Kamarandi Dispensary,Tharaka-Nithi,Level 2,Ministry of Health
Omosocho Medical Clinic (Manga),Nyamira,Level 2,Private Enterprise (Institution)
Andulus Medical Clinic,Nairobi,Level 3,Private Enterprise (Institution)
Al Amin Nursing Home,Nairobi,Level 3,Private Practice - Clinical Officer
Marps Drop In Medical Centre,Narok,Level 2,Non-Governmental Organizations
Jena Medical Clinic,Turkana,Level 2,Private Practice - Clinical Officer
Akicha Medical Services,Turkana,Level 2,Private Practice - Clinical Officer
Lang'ata Dispensary (Ruiru),Kiambu,Level 2,Ministry of Health
Spa Nursing Home,Kiambu,Level 3,Private Practice - General Practitioner
Kamuthini Dispensary,Makueni,Level 2,Ministry of Health
Jalsonga Medical Clinic,Siaya,Level 2,Non-Governmental Organizations
Family Dental Care (Ayany),Nairobi,Level 2,Private Practice - General Practitioner
Clinix Health Care (Kibra),Nairobi,Level 2,Private Enterprise (Institution)
Mucharage Mlc,Trans Nzoia,Level 2,Private Practice - Nurse / Midwifery
Ash Community Health Centre,Trans Nzoia,Level 2,Non-Governmental Organizations
Serena Beach Hotel & Spa Staff Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Comfort The Chidren International (Ctc) Naivasha,Nakuru,Level 2,Non-Governmental Organizations
Vegpro Delamere Pivot Medical Clinic (Naivasha),Nakuru,Level 2,Company Medical Service
Tionybei Medical Clinic,Baringo,Level 2,Private Enterprise (Institution)
Comboni Missionary Sisters Health Programm,Nairobi,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Premium Health Services,Nairobi,Level 2,Private Practice - General Practitioner
Kariobangi EDARP,Nairobi,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Kiptome Dispensary (Belgut),Kericho,Level 2,Ministry of Health
Vipawa Medical Services,Nairobi,Level 2,Private Practice - Clinical Officer
Green Valley Clinic,Vihiga,Level 2,Private Practice - Nurse / Midwifery
Eagle Wings Medical Centre,Nairobi,Level 2,Private Practice - General Practitioner
Aga Khan University Hospital -New Machakos Medical,Machakos,Level 2,Private Practice - General Practitioner
Lobei Health Centre,West Pokot,Level 3,Ministry of Health
Huruma Medical Clinc,Meru,Level 2,Private Practice - General Practitioner
Madaraka Health Services,Meru,Level 2,Private Practice - Nurse / Midwifery
New Generation Clinic,Meru,Level 2,Private Practice - Clinical Officer
Makutano Medical Clinic (Meru),Meru,Level 2,Private Practice - General Practitioner
Kenya Assemblies of God Medical Clinic,Meru,Level 2,Other Faith Based
Meru Consultant Clinic,Meru,Level 2,Private Enterprise (Institution)
Afya Medical Clinic (Meru),Meru,Level 2,Private Practice - General Practitioner
Kefra Clinic,Meru,Level 2,Private Practice - General Practitioner
Dr Muthuri Jj Clinic,Meru,Level 2,Private Practice - General Practitioner
Umoja Medical Clinic (Imenti North),Meru,Level 2,Private Practice - Clinical Officer
Upendo Clinic,Meru,Level 2,Private Practice - General Practitioner
Pedo Dispensary,Kisumu,Level 2,Ministry of Health
Diplomatic Medical Clinic,Meru,Level 2,Private Practice - General Practitioner
Kandaria Medical Centre,Kisumu,Level 2,Private Practice - General Practitioner
House of Hope Medical Centre,Kisumu,Level 2,Private Practice - General Practitioner
Everest Medical/Dental Clinic,Meru,Level 2,Private Practice - General Practitioner
Slopes Medical Clinic,Meru,Level 2,Private Practice - Medical Specialist
Dr Kiara Medical Clinic (Timau),Meru,Level 2,Private Practice - General Practitioner
Mummy Medical Clinic,Meru,Level 2,Private Practice - Unspecified
Pr Health Services,Meru,Level 2,Private Practice - Nurse / Midwifery
Nazarene Sister's Dispensary Rwarera,Meru,Level 2,Private Practice - Unspecified
Philia Medical Clinic,Meru,Level 2,Private Practice - Clinical Officer
Tumaini Medical Clinic (Yatta),Machakos,Level 2,Private Enterprise (Institution)
Ruiri Medical Centre,Meru,Level 2,Private Practice - Unspecified
Path Care Kenya,Meru,Level 2,Private Practice - Unspecified
Mutindwa Clinic and Lab,Meru,Level 2,Private Practice - Unspecified
Tumaini Medical Clinic (Meru),Meru,Level 2,Private Practice - Clinical Officer
Gakoromone Health Care Clinic,Meru,Level 2,Private Practice - Nurse / Midwifery
Mirigamieru Health Services,Meru,Level 2,Private Practice - Nurse / Midwifery
Mayo Clinic,Meru,Level 2,Private Practice - Unspecified
Thuura Health Care,Meru,Level 2,Private Practice - General Practitioner
Magana Medical Clinic,Kiambu,Level 2,Private Practice - Nurse / Midwifery
Khaburu Chemist (Ntima East),Meru,Level 2,Private Practice - General Practitioner
Mercy Mission Medical Dispensary,Makueni,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Maria Salus Infirmorum Dispensary,Makueni,Level 2,Christian Health Association of Kenya
Kikule Dispensary,Machakos,Level 2,Ministry of Health
Ngelani Dispensary,Kitui,Level 2,Ministry of Health
Mastoo Dispensary,Nyandarua,Level 2,Ministry of Health
